item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item1829	Prices are going up said George C. Eads vice president and chief economist at general motors corporation
item1830	Prices of municipal bonds gained as much as three eighths point
item1831	Prices were down every day but thursday ,comma when they rose only slightly .period
item1832	Prices were down every day but Thursday when they rose only slightly
item1833	Prior to the filing the company said it had been attempting to settle its debt with the creditors and to gain additional bank financing to continue going operations
item1834	Private free schools were formed both in the poor neighborhoods and in the middle-class communities
item1835	Proceeds also may be used eventually to buy back common shares the company said
item1836	Proceeds will be added to Sears's general funds to reduce its short term borrowings
item1837	Proceeds will be used for product development working capital and general purposes
item1838	Proceeds will be used to finance the electric utility's construction program and for general purposes
item1839	Profits also generally advanced for diversified industrial companies ,comma boosted by stronger pricing .period
item1840	Proposals would allow European financial institutions to set up shop anywhere in the twelve -hyphen nation bloc ,comma deferring regulation to home -hyphen country authorities .period
item1841	Rates are expected to remain at those levels or move a little higher this week at the treasury department's quarterly auction
item1842	Rates fell on short term treasury bills
item1843	Realized capital gains increased forty two percent to nine hundred nine million dollars from six hundred forty point nine million dollars
item1844	Recognition said it reorganized its U. S. businesses into three units :colon sales and service ,comma federal government sales ,comma and the sales development and special products .period
item1845	Reducing the number of shares usually boosts per -hyphen share earnings .period
item1846	Regulators aren't allowing the utility an eighteen percent owner in the project to pass that along to customers
item1847	Representatives for the two importers said the programs have ended and new incentives haven't been announced
item1848	Revenue in the quarter more than doubled to three hundred sixty two point four million dollars from one hundred forty nine point two million dollars
item1849	R. L. I. corporation a Peoria Illinois based insurance holding company will begin trading Friday on the big board under the symbol R. L. I.
item1850	Robert Farrell director of technical analysis at Merrill Lynch takes Dow theory into consideration when studying the market but it's not his sole forecasting tool
item1851	Robins said Mr. Wolf forty three years old is leaving after thirteen years with the company for a position with a Texas health care concern
item1852	Salant shares closed unchanged on the big board at nine dollars and seventy five cents
item1853	Sales in stores open more than one year increased six point seven percent to ten point five million dollars from nine point eight million dollars .period
item1854	It was a long day, 
item1855	It was not till the afternoon that all the children suddenly decided to write letters to their mother. 
item1856	It was Robert who had the misfortune to upset the ink-pot 
item1857	An unusually deep and full one 
item1858	Straight into that part of Anthea's desk where she had long pretended that an arrangement of gum and cardboard painted with Indian ink was a secret drawer. 
item1859	It was not exactly Robert's fault; 
item1860	It was only his misfortune that he chanced to be lifting the ink across the desk just at the moment when Anthea had got it open, 
item1861	That same moment should have been the one chosen by the Lamb to get under the table and break his squeaking bird. 
item1862	There was a sharp convenient wire inside the bird, and of course the Lamb ran the wire into Robert's leg at once; 
item1863	So, without anyone's meaning to, the secret drawer was flooded with ink. 
item1864	At the same time a stream was poured over Anthea's half-finished letter. 
item1865	So that her letter was something like this:
item1866	DARLING MOTHER, I hope you are quite well, and I hope Granny is better. 
item1867	It was not me upset the ink, but it took such a time clearing up, so no more as it is post-time. 
item1868	From your loving daughter, ANTHEA.
